EXPEDIENTE,FECHA DE INGRESO,FECHA DE CIERRE,TIPO DE CONCILIACIÓN,ESTADO PROCESAL,PROVEEDOR,NOMBRE COMERCIAL,GIRO,SECTOR,ODECO,ESTADO,TIPO DE RECLAMACIÓN,MOTIVO DE RECLAMACIÓN,COSTO BIEN O SERVICIO,MONTO RECLAMADO,MONTO RECUPERADO,PROCEDIMIENTO,BIEN O SERVICIO,MEDIO DE INGRESO,TIPO PRODUCTO,MODALIDAD DE COMPRA,MODALIDAD PAGO,PROBLEMA ESPECIAL
PFC.AGS.B.3/000001-2022,01/03/22,01/20/22,Turnada a Concil Person p/seg,Conciliada,"CABLEVISION RED, SA DE CV",IZZI,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,Zona José Guadalupe Posadas (Aguascalientes),Aguascalientes,Cobro indebido,No respetó acuerdo previo,1079.00,0.00,0,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.AGS.B.3/000003-2022,01/03/22,02/03/22,Turnada a Concil Person p/seg,Conciliada,"TELEFONOS DE MEXICO, SAB DE CV",TELMEX,Empresa de telefonía local,TELECOMUNICACIONES,Zona José Guadalupe Posadas (Aguascalientes),Aguascalientes,Entrega del producto o servicio,Producto o servicio equivocado,249.00,0.00,0,Conciliación personal,Servicio,Personal,Servicio normal,Por internet,Contado,No problema especial
PFC.AGS.B.3/000006-2022,01/03/22,02/09/22,Turnada a Concil Person p/seg,Conciliada,"CORPORACION NOVAVISION, S DE RL DE CV",SKY,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,Zona José Guadalupe Posadas (Aguascalientes),Aguascalientes,Contratos,Negativa a la rescisión,600.00,0.00,0,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.AGS.B.3/000018-2022,01/05/22,03/17/22,Turnada a Concil Person p/seg,Conciliada,"CORPORACION NOVAVISION, S DE RL DE CV",SKY,Proveedor de acceso a Internet y hospedaje de páginas Web,TELECOMUNICACIONES,Zona José Guadalupe Posadas (Aguascalientes),Aguascalientes,"Cambios, devoluciones o bonificaciones",Negativa a la devolución de depósito,899.00,899.00,1798,Conciliación personal,Servicio,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.AGS.B.3/000021-2022,01/05/22,04/20/22,Turnada a Concil Person p/seg,Conciliada,"AT&T COMUNICACIONES DIGITALES, S DE RL DE CV",AT&T,Empresa de telefonía celular,TELECOMUNICACIONES,Zona José Guadalupe Posadas (Aguascalientes),Aguascalientes,Entrega del producto o servicio,Incumplimiento de plazos,62554.00,0.00,0,Conciliación personal,Servicio,Escrito,Servicio normal,En establecimiento físico,Apartado,No problema especial
PFC.AGS.B.3/000093-2022,01/20/22,04/05/22,Turnada a Concil Person p/seg,Conciliada,"ZTE CORPORATION DE MEXICO, S DE RL DE CV",ZTE,Empresa de telefonía celular,TELECOMUNICACIONES,Zona José Guadalupe Posadas (Aguascalientes),Aguascalientes,Garantías,Negativa a hacerla efectiva,1999.00,0.00,0,Conciliación personal,Bien,Personal,Producto nuevo,En establecimiento físico,Contado,No problema especial
PFC.AGS.B.3/000093-2022,01/20/22,04/05/22,Turnada a Concil Person p/seg,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonía celular,TELECOMUNICACIONES,Zona José Guadalupe Posadas (Aguascalientes),Aguascalientes,Garantías,Negativa a hacerla efectiva,1999.00,0.00,0,Conciliación personal,Bien,Personal,Producto nuevo,En establecimiento físico,Contado,No problema especial
PFC.AGS.B.3/000094-2022,01/21/22,04/27/22,Turnada a Concil Person p/seg,Desistimiento,"SAMSUNG ELECTRONICS MEXICO, SA DE CV",SAMSUNG,Distribuidor de servicio de telefonía celular,TELECOMUNICACIONES,Zona José Guadalupe Posadas (Aguascalientes),Aguascalientes,Garantías,Negativa a hacerla efectiva,8499.00,0.00,0,Conciliación personal,Bien,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.AGS.B.3/000094-2022,01/21/22,04/27/22,Turnada a Concil Person p/seg,Desistimiento,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonía celular,TELECOMUNICACIONES,Zona José Guadalupe Posadas (Aguascalientes),Aguascalientes,Garantías,Negativa a hacerla efectiva,8499.00,0.00,0,Conciliación personal,Bien,Personal,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.AGS.B.3/000100-2022,01/24/22,08/12/22,Turnada a Concil Person p/seg,Desistimiento,"TELEFONOS DE MEXICO, SAB DE CV",TELMEX,Empresa de telefonía local,TELECOMUNICACIONES,Zona José Guadalupe Posadas (Aguascalientes),Aguascalientes,Cobro indebido,Producto o servicio no solicitado o autorizado,12374.00,52179.00,0,Conciliación personal,Servicio,Escrito,Servicio normal,En establecimiento físico,Contado,No problema especial
